mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
23517,Calligraffiti,Movie,4.11,1038,15187,Music,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,13562.0,15406.0
23519,Enbi,OVA,6.54,6298,8767,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,8441.0,7990.0
23555,Neko no Dayan,TV,5.94,843,16014,Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,14010.0,11854.0
23569,Kagirinaki Rakuen,Movie,6.66,1149,14782,Drama|Horror|Psychological,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,13305.0,7146.0
6000,Haruwo,OVA,4.3,1580,13496,Action|Sci-Fi,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,12459.0,15376.0
23593,Saitama Bousou Saizensen Flag! Shinimonogurui no Seishun!!,OVA,5.83,547,18165,Drama|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,14931.0,12436.0
23605,Ninja Slayer From Animation,ONA,6.59,44551,3883,Action|Sci-Fi,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,3832.0,7642.0
725,First Kiss Monogatari,OVA,4.98,3488,10750,Drama|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,10214.0,14972.0
730,Houkago no Shokuinshitsu,OVA,5.01,8469,7805,Drama|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,7537.0,14940.0
731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Movie,8.12,83029,2722,Adventure|Drama|Music|Sci-Fi,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,2706.0,554.0
57524,Make Heroine ga Oosugiru!,TV,8.07,339886,830,Comedy|Romance|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,831.0,627.0
57533,Youkai Gakkou no Sensei Hajimemashita!,TV,7.31,48164,3698,Comedy|Supernatural,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,3662.0,3064.0
6025,Battle Can²,OVA,4.56,1686,13273,Action|Hentai|Sci-Fi,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,12302.0,15306.0
23499,Gakumon!: Ookami Shoujo wa Kujikenai,ONA,6.37,2723,11670,Comedy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,11020.0,9229.0
23511,Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa,TV,5.23,741,16569,Comedy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,14304.0,14604.0
57502,Meiji Gekken: 1874,TV,6.33,16448,5973,Action|Drama|Mystery,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5830.0,9493.0
57508,Trapezium,Movie,6.93,19216,5636,Drama|Music,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5511.0,5313.0
57512,Yishi Zhi Zun,ONA,6.85,1244,14423,Action|Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,13090.0,5811.0
57513,Shenyuan Youxi,ONA,6.6,674,17024,Action|Sci-Fi|Thriller,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,14505.0,7557.0
708,Patapata Hikousen no Bouken,TV,7.56,9713,7386,Adventure|Sci-Fi,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,7147.0,1903.0
709,Mujin Wakusei Survive,TV,7.75,33314,4473,Action|Adventure|Fantasy|Sci-Fi|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,4397.0,1276.0
