mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
11857,Judo Sanka,TV,6.28,1088,15025,Drama|Sports,1,1,3.0,3.0,1.574839247744594e-05,5.016235009198477e-14,1.5192758664054613e-13,12395,13463.0,9856.0
38954,"Okoshiyasu, Chitose-chan Recaps",Special,5.78,841,16022,Slice of Life,1,1,3.0,9.0,1.5746969412205225e-05,8.902718217152062e-13,5.57284305475511e-13,12396,14017.0,12699.0
4202,Mokke Specials,Special,6.79,2608,11812,Mystery|Slice of Life|Supernatural,2,9,8.0,129.0,1.5740288799901614e-05,8.719624270231196e-06,7.687104904525406e-09,12397,11147.0,6197.0
21179,Dragon Fist,OVA,4.41,2524,11937,Drama|Fantasy,2,2,2.0,2.0,1.574019971826783e-05,5.364851944178071e-09,5.099960837433525e-09,12398,11254.0,15354.0
58487,Xuwu Bianjing,ONA,6.41,1159,14721,Action|Adventure|Sci-Fi,2,3,3.0,5.0,1.5737264569936714e-05,3.0445898506672987e-09,4.9923856386410854e-11,12399,13279.0,8961.0
37994,B: The Beginning Succession,ONA,6.21,107045,2295,Action|Mystery|Psychological|Supernatural|Thriller,4,5,16.0,24.0,1.5736346384000303e-05,2.3519667829074708e-07,9.567916849791919e-09,12400,2289.0,10283.0
37959,Gakuen Babysitters Special,Special,7.75,49671,3632,Comedy|Slice of Life,2,4,12.0,17.0,1.5734314022030837e-05,1.015846724309987e-08,9.904536425553311e-09,12401,3588.0,1276.0
36950,Yuragi-sou no Yuuna-san OVA,OVA,7.09,65505,3115,Comedy|Romance|Supernatural,5,6,12.0,19.0,1.572663763437889e-05,3.7192629959956575e-09,1.5986435070385926e-09,12402,3089.0,4451.0
37884,Golden Kamuy: Barato no Youjinbou/Kaiki! Nazo no Kyodai Tori,OVA,7.25,32707,4512,Action|Adventure,3,3,16.0,19.0,1.5725598743256976e-05,1.1012826582064957e-07,7.515794587098966e-08,12403,4433.0,3441.0
49297,Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi,Special,6.34,35167,4374,Action|Adventure|Fantasy,2,11,20.0,125.0,1.572526034791211e-05,3.6922392879718014e-08,3.214443930930877e-09,12404,4296.0,9429.0
4390,Sora no Momotarou,Movie,5.1,1856,12960,Adventure|Comedy,1,1,1.0,1.0,1.572443852440755e-05,4.041970081482328e-15,2.2628933629713402e-14,12405,12058.0,14821.0
28067,Kyouryoku Boukuusen,Movie,4.67,639,17310,Action,1,1,1.0,1.0,1.572443852440755e-05,4.041970081482328e-15,2.2628933629713402e-14,12405,14608.0,15246.0
61184,Nohara Hiroshi: Hiru Meshi no Ryuugi,TV,6.73,4504,9912,Comedy|Slice of Life,2,2,3.0,10.0,1.5722085206992256e-05,1.4526320127636529e-10,4.6954852527012336e-11,12407,9485.0,6588.0
2552,Tetsuko no Tabi,TV,6.34,3140,11125,Comedy,5,5,7.0,6.0,1.5720279123490385e-05,8.585689831178645e-10,1.5539905412687371e-09,12408,10551.0,9429.0
10801,Copihan,ONA,5.42,9217,7541,Comedy|Sci-Fi,3,3,3.0,3.0,1.5706918876746378e-05,8.165542979438348e-11,3.203544326901348e-09,12409,7290.0,14148.0
17551,Shakugan no Shana: Shana & Yuuji no Naze Nani Shana! Nandemo Shitsumonbako!,Special,6.27,6681,8570,Comedy|Fantasy|Supernatural,1,1,6.0,9.0,1.5705966493891893e-05,1.1508375264578255e-11,5.140539010731765e-11,12410,8261.0,9921.0
3221,Shakugan no Shana-tan Movie,Special,7.1,24898,5074,Adventure|Comedy|Fantasy,1,1,6.0,9.0,1.5705966493891893e-05,1.1508375264578255e-11,5.140539010731765e-11,12410,4979.0,4380.0
31827,Comet Lucifer: Garden Indigo no Shasou kara,ONA,5.9,5979,8977,Comedy|Fantasy,1,2,6.0,20.0,1.570564341276463e-05,7.754254274625206e-08,1.7045086992068278e-09,12412,8637.0,12074.0
1919,Urusei Yatsura OVA,OVA,7.37,9912,7326,Adventure|Comedy|Sci-Fi,1,3,6.0,14.0,1.5700226441132418e-05,1.340238818578656e-09,2.38100019062768e-10,12413,7092.0,2752.0
1481,"Urusei Yatsura: Haru da, Tobidase!",Special,6.66,6601,8618,Action|Adventure|Comedy|Drama|Romance|Sci-Fi,1,5,6.0,89.0,1.5700226441132418e-05,1.0717115165459933e-08,2.38100019062768e-10,12413,8306.0,7146.0
1898,Hikari to Mizu no Daphne Specials,Special,6.64,3859,10423,Action|Comedy|Ecchi,1,4,6.0,36.0,1.569404016819858e-05,1.8639378378100642e-08,7.878262672264687e-11,12415,9930.0,7282.0
2132,Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,Movie,7.01,17947,5774,Comedy|Ecchi|Romance|Supernatural,3,3,8.0,11.0,1.5692022147025324e-05,1.4789993650042613e-09,1.1882976875547763e-09,12416,5642.0,4890.0
844,Konjiki no Gash Bell!!: 101-banme no Mamono,Movie,7.25,9439,7468,Adventure|Supernatural,2,2,7.0,10.0,1.56864432610161e-05,2.681201324730285e-10,2.761642984710081e-10,12417,7223.0,3441.0
54793,Bloody Escape: Jigoku no Tousou Geki,Movie,6.07,3458,10766,Action|Drama|Supernatural,2,2,7.0,7.0,1.5674745795793082e-05,5.0578991403988325e-09,5.427275657308974e-09,12418,10241.0,11158.0
63014,"Tadaima, Ojamasaremasu!",TV,6.73,20482,5486,Comedy|Romance|Slice of Life,2,6,18.0,42.0,1.5670383084055062e-05,5.577023554525516e-07,2.0122656199754904e-08,12419,5378.0,6588.0
