character_name,character_id_anilist,character_id_mal,character_favorites_mal,character_favorites_anilist,character_favorites,anime_count,anime_ids,voice_actor_names
"Maekawa, Suzune",153786,123071,0,0,0,4,25729|29829|29830|29831,"Iizuka, Mayu"
Magician,179529,58603,0,0,0,4,200|6452|35330|38936,"Chiba, Isshin|Masuoka, Hiroshi|Arai, Satomi|Tobita, Nobuo"
"Magumo, Hyosuke",,4546,0,0,0,4,195|196|443|524,"Iwata, Mitsuo"
Makiko,285737,259238,0,0,0,4,8407|9790|30648|43694,"Kosuge, Mami|Sakado, Komatsuna|Nabatame, Hitomi"
Mallygan,364551,124666,0,0,0,4,3963|3964|60449|61295,"Ishimaru, Hiroya|Saitou, Souma"
"Man, Young",,239960,0,0,0,4,1441|31804|41497|59619,"Kikuchi, Hidehiro|Yonaga, Tsubasa|Shiraishi, Kento|Yamashita, Seiichirou"
"Manes, Jan",,98003,0,0,0,4,15197|15201|30711|31145,"Ishikawa, Kaito"
Masahiko,337456,57887,0,0,0,4,185|1284|4824|16526,"Suzuki, Jun|Chiba, Isshin|Yamazaki, Kensuke|Tanaka, Mayumi"
"Masaki, Kiyone",6852,6852,0,0,0,4,539|541|1147|31861,"Burchard, Petrea|Shinohara, Emi"
Matilda,10110,10110,0,0,0,4,754|3807|4264|11101,"Midori, Junko|Pacotto, Emanuela|Yamagata, Kaori|Shimazu, Saeko"
Matthew,,255926,0,0,0,4,277|479|3226|3854,"Kawasumi, Ayako|Miki, Shinichiro|Saitou, Chiwa|Oohira, Tooru"
"Meinstron, Jugan",,186171,0,0,0,4,23259|38714|40890|43206,"Suwabe, Junichi"
"Mibu, Shirou",,2977,0,0,0,4,615|920|1048|3849,"Onosaka, Masaya"
"Midland, King of",,615,0,0,0,4,10218|12113|12115|32379,"Katsube, Nobuyuki"
Midori-chan,54709,,0,0,0,4,11491|13377|14627|18099,"Kashiyama, Nanami"
"Mihara, Kanami",,41549,0,0,0,4,8841|10209|10790|15437,Mina
"Mikami, Tatsuo",62319,62319,0,0,0,4,1614|1674|2116|2122,"Tachiki, Fumihiko|Ishizuka, Unshou|Iizuka, Shouzou|Arimoto, Kinryuu"
Miki-chan,164834,168465,0,0,0,4,9627|10908|14519|37597,"Shimizu, Ayaka|Yamada, Mari|Asakura, Momo"
"Minami, Johji",,38978,0,0,0,4,1458|4578|33027|36197,"Mori, Katsuji|Sakurai, Takahiro"
"Minamoto, Yoshio",,118849,0,0,0,4,2471|2660|21469|40853,"Katou, Masayuki|Kume, Akira|Tahara, Aruno"
Misako,239352,240048,0,0,0,4,851|1804|15815|19917,"Inoue, Kikuko|Minaguchi, Yuko|Omae, Akane|Okamoto, Mari"
"Misumi, Kaede",,4545,0,0,0,4,195|196|443|524,"Ohara, Sayaka"
Moko,232904,167149,0,0,0,4,10958|34527|35971|41470,"Kanai, Mika|Kayano, Ai|Murakita, Saori|Kinoshita, Suzuna"
"Mother, Lum's",,49225,0,0,0,4,1920|1922|1924|1925,"Yamada, Reiko"
"Mother, Takami's",,274699,0,0,0,4,1690|32526|34973|52214,"Minagawa, Junko|Kugimiya, Rie"
"Mother, Yuu's",,280993,0,0,0,4,34618|37232|37786|59161,"Yamakita, Saki|Kawasumi, Ayako|Imaizumi, Yoko|Yukana"
Mukuhawk,,222356,0,0,0,4,6178|6555|11069|16680,"Konishi, Katsuyuki"
"Mustang, Chuck",213565,137585,0,0,0,4,28013|33806|36077|38373,"Kawada, Shinji"
Myra,56413,56413,0,0,0,4,1599|2775|6577|40873,"Miyamura, Yuuko|Katsuki, Masako|Shimazu, Saeko|Ichinose, Kana"
"Münchhausen II, Faust",,62275,0,0,0,4,2342|2343|2344|2360,"Yamaguchi, Kappei|Yamaguchi, Ken|Kakka, Demon"
"Nagatsuki, Heinojou",44851,44851,0,0,0,4,3805|10217|27997|33532,"Kiyokawa, Motomu"
"Nakano, Umi",,189399,0,0,0,4,40839|42963|53050|59277,"Ishikawa, Kaito"
"Nakao, Yuri",208387,219046,0,0,0,4,8953|9242|9243|9244,"Kurata, Mariko|Yasuda, Narumi"
"Nakatsugawa, Munechika",,86893,0,0,0,4,15583|19163|24655|36633,Gorgeous
"Namihira, Bon",,190045,0,0,0,4,12529|31201|56840|59274,"Mitsuya, Yuuji|Fukui, Miki|Wakayama, Akihisa"
Narumi,86687,248767,0,0,0,4,299|3509|38330|52031,"Kubo, Sayuri|Genda, Tesshou|Nakamura, Keisuke|Natsumura, Isuke|Park, Romi"
"Natsume, Kyusaku",,6382,0,0,0,4,373|374|375|3232,"Kamiya, Akira"
Ne,,158071,0,0,0,4,10893|15359|19703|20723,"Hidaka, Noriko"
Nelson,24367,24367,0,0,0,4,2064|21809|23279|23735,"Katou, Seizou|Fukushima, Jun|Tamaru, Hiroomi"
"Nemoto, Kyouji",31946,31946,0,0,0,4,6347|7870|8516|9471,"Miyazaki, Hiromu"
"Niao, Qing",383136,,0,0,0,4,54974|55821|58555|59385,"Zhao, Shuang"
Nightmare,6840,219077,0,0,0,4,2390|2970|8310|31670,"Ginga, Banjou|Hiyama, Nobuyuki|Tobita, Nobuo|Toriumi, Kousuke"
"Niimi, Katsuya",208385,92699,0,0,0,4,8953|9242|9243|9244,"Furuya, Toru|Furuya, Tooru"
Nikolai,30411,184100,0,0,0,4,1910|2482|37055|55995,"Morikawa, Toshiyuki|Genda, Tesshou|Yanagita, Junichi|Toki, Shunichi"
"Nishio, Shigenori",,103251,0,0,0,4,1540|2491|2492|2493,"Kitamura, Kouichi"
Noguchi,364818,99139,0,0,0,4,2014|3064|4824|13125,"Murozono, Takehiro|Shioya, Kouzou|Obara, Katsuhito|Chiba, Isshin"
Norton,196086,205757,0,0,0,4,1276|1475|2063|2064,"Gouri, Daisuke|Harada, Kazuo|Yara, Yuusaku"
O-Gata,81327,,0,0,0,4,17731|28207|31566|32274,"Ishida, Akira"
O-gata-kun,,81327,0,0,0,4,17731|28207|31566|32274,"Ishida, Akira"
Oba,146032,,0,0,0,4,40331|42923|55194|60168,"Takenaka, Naoto|Takahashi, Rie|Shogawa, Hitomi|Yuzuki, Ryouka"
"Ohara, Daijirou",33608,33608,0,0,0,4,2901|3545|3547|33454,"Sayama, Haruki"
Oharu,42176,42176,0,0,0,4,563|606|5997|60378,"Yamada, Eiko|Nishimura, Chinami|Mori, Hiroko|Wakayama, Shion"
