voice_actor_name,voice_actor_id_anilist,voice_actor_id_mal,voice_actor_favorites_mal,voice_actor_favorites_anilist,voice_actor_favorites,anime_count,main_role_count,supporting_role_count,anime_ids,anime_titles
"Tanaka, Hideki",116745,,1,0,1,1,1,0,37787,Space Bug
"Fujimura, Suzuka",123708,,0,1,1,1,1,0,32895,Chijoku no Seifuku
"Ootsuki, Hibiki",123763,,0,1,1,1,1,0,34506,Idol Kyousei Sousa
"Kanae, Ruka",125494,,0,1,1,1,1,0,34506,Idol Kyousei Sousa
"Taniyama, Chiyo",125558,,0,1,1,1,1,0,37088,Enkou JK Bitch Gal: Ojisan to Namapako Seikatsu
"Ichikawa, Emiya",127510,,0,1,1,1,1,0,1032,Kumo no You ni Kaze no You ni
"Jones, Rick",130901,,1,0,1,1,1,0,4598,Urikupen Kyuujo-tai
"Amagasa, Mirei",134482,,0,1,1,1,1,0,38034,Tiny Evil
"Michikusa, Yuri",134663,,1,0,1,1,1,0,35029,Tensei Kendo no Harem Colosseo
"Mikami, Jou",136271,,1,0,1,1,1,0,39421,Yichang Shengwu Jianwenlu
Tsuitachi,140571,,0,1,1,1,1,0,10392,Pet Life
Kikyou,143081,,0,1,1,1,1,0,8293,Gakuen Saimin Reido
"Yodogawa, Yuka",143083,,0,1,1,1,1,0,18151,Saimin Jutsu Zero
"Honig, Rebecca",143831,,1,1,1,1,1,0,1339,Cool Devices
"Iwaki, Serika",150553,,0,1,1,1,1,0,39068,Ano Danchi no Tsuma-tachi wa... The Animation
"Yuki, Moeko",153577,,0,1,1,1,1,0,40842,Idoly Pride
"Vitelli, Omar",159632,,1,0,1,1,1,0,49154,High Card
"Tagami, Kazue",164196,,0,1,1,1,1,0,15823,Shin Takarajima
"Maia, Alexandre",168288,,0,1,1,1,1,0,8491,Digimon Savers 3D: Digital World Kiki Ippatsu!
"Kosugi, Kane",174036,,0,1,1,1,1,0,979,Street Fighter Zero The Animation
"Djanik, Henry",174950,,1,0,1,1,1,0,1258,Saint Seiya: Kamigami no Atsuki Tatakai
"Saitou, Tomomi",175425,,0,1,1,1,1,0,28957,Mushishi Zoku Shou: Suzu no Shizuku
"Zordan, Zayra",179630,,0,1,1,1,1,0,28983,Bouken-tachi Gamba to Nanbiki no Nakama
"Rego, Sara",187218,,0,1,1,1,1,0,8491,Digimon Savers 3D: Digital World Kiki Ippatsu!
"Lü, Yanting",188422,,1,0,1,1,1,0,40111,Nezha Zhi Mo Tong Jiang Shi
"Rhaulin, Marta",196961,,1,1,1,1,1,0,4742,Papa to Odorou
"Costa, Shallana",202429,,0,1,1,1,1,0,54637,Bakugan: Legends
"Kimishima, Risa",202551,,0,1,1,1,1,0,33979,Kowaremono: Risa Plus The Animation
"Hirasawa, Kokoro",211233,,1,1,1,1,1,0,42143,Aya to Majo
"Kurashita, Nadeko",212184,,0,1,1,1,1,0,44192,Kimi ga Suki. The Animation
"Kishibe, Shirou",216444,,0,1,1,1,1,0,30360,Poppen-sensei to Kaerazu no Numa
"Zu, Qing",217580,,0,1,1,1,1,0,31150,Xi Yangyang Yu Hui Tailang
"Liang, Ying",217583,,0,1,1,1,1,0,31150,Xi Yangyang Yu Hui Tailang
Pon,219068,,1,0,1,1,1,0,33958,Robber's Company
"Kiriyama, Shoubu",236005,,0,1,1,1,1,0,42031,Muramata-san no Himitsu
"Kouyou, Suiko",242452,,0,1,1,1,1,0,42756,Oneshota The Animation
Kunoichigo,243143,,0,1,1,1,1,0,49353,Usamimi Bouken-tan: Sexual Harassment Shinagara Sekai wo Sukue
"Monma, Kazuya",245355,,1,0,1,1,1,0,3902,Spotlight
"Midorikawa, Madoka",246522,,0,1,1,1,1,0,32016,Secret Journey
"Satou, Kouichi",247100,,0,1,1,1,1,0,16434,Penguin's Memory: Shiawase Monogatari
"Kagami, Hayato",254634,,0,1,1,1,1,0,55594,Chocosanji
"Mezumi, Mashiro",257287,,0,1,1,1,1,0,49943,Cosplay Change: Pure-kei Joshidaisei no Kiken na Seiheki
"Sugiura, Yuura",257892,,0,1,1,1,1,0,50495,Garugaku. II: Lucky Stars
"Costa, Daniel",258122,,0,1,1,1,1,0,8491,Digimon Savers 3D: Digital World Kiki Ippatsu!
"Takitou, Kenichi",259161,,0,1,1,1,1,0,49431,Kanashiki Debu Neko-chan
"Tanaka, Jun",268929,,0,1,1,1,1,0,466,One Piece: Taose! Kaizoku Ganzack
"Higashino, Yumi",276239,,0,1,1,1,1,0,2791,Makasete Iruka!
"Zimmerer, KyLeigh",278393,,0,1,1,1,1,0,5293,Time Slip Ichimannen: Prime Rose
"Wan, Baolu",282863,,0,1,1,1,1,0,49952,Wo Qi Ku Le Baiwan Xiulian Zhe
"Tsukiyomi, Azusa",284910,,0,1,1,1,1,0,50161,Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai
"Asano, Hikari",284912,,0,1,1,1,1,0,50161,Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai
"Natsuki, Sumire",288781,,0,1,1,1,1,0,52245,Renseijutsushi Colette no H na Sakusei Monogatari
"Pousadas, Ana",291129,,0,1,1,1,1,0,8491,Digimon Savers 3D: Digital World Kiki Ippatsu!
YU-KI,293161,,0,1,1,1,1,0,6593,Elmer no Bouken: My Father's Dragon
"Mizuma, Maki",298177,,0,1,1,1,1,0,708,Patapata Hikousen no Bouken
"Kitayama, Momoka",303263,,0,1,1,1,1,0,4494,Enyoku
"Ishimori, Issei",312841,,0,1,1,1,1,0,54912,Sukebe Elf Tanbouki
"Yoshida, Honoka",314452,,1,0,1,1,1,0,53720,Hi no Tori: Eden no Sora
"Haru, Danji",325851,,0,1,1,1,1,0,57789,"Ateuma Chara no Kuse shite, Super Darling Ouji ni Chouai sareteimasu."
"Kitazaki, Hitomi",333536,,0,1,1,1,1,0,60784,Yuugao
Laibaht,333697,,0,1,1,1,1,0,54650,Precure All Stars Movie F
"Saitou, Shuuji",364250,,1,0,1,1,1,0,3633,Angel
"Kunnecke, Anna",367728,,1,0,1,1,1,0,1828,Catblue: Dynamite
"Kobashi, Miyuu",368610,,0,1,1,1,1,0,61997,Sugar Sugar Rune: Les deux sorcières
"Shigaki, Tarou",95753,,0,1,1,1,1,1,7376,Kurumiwari Ningyou
"Mori, Kumiko",105060,10060,0,1,1,1,1,0,6116,Mainichi Kaasan
"Obata, Mayu",105072,10072,1,0,1,1,1,0,4334,Heroman
"Ueda, Yuki",105866,10866,0,1,1,1,1,0,5053,Ai City
"Harada, Mieko",105926,10926,1,0,1,1,1,0,450,InuYasha Movie 2: Kagami no Naka no Mugenjou
"Kichiya, Atsuko",106411,11411,0,1,1,1,1,0,2317,Hen
"Ishikawa, Susumu",106770,11770,0,1,1,1,1,0,2279,Nagagutsu wo Haita Neko
NOKKO,106793,11793,0,1,1,1,1,0,2103,TO-Y
"Ou, Natsuki",107471,12471,1,1,1,1,1,0,1494,Darkside Blues
