user_level,method,evaluated_users,median_profile_size,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,mean_rank
Veteran,advanced_split_popularity_baseline,1240,675.0,0.7201612903225807,0.7201612903225807,0.41652173620453575,0.3249411162314388,0.33722916352422055,6.0,11.073387096774194
Veteran,catboost_yetirank,1240,675.0,0.9024193548387097,0.9024193548387097,0.6329559136269931,0.5496020981706465,0.554363945235371,2.0,5.262096774193548
Veteran,gbdt_signal_reranker,1240,675.0,0.9,0.9,0.6292450862430572,0.5457117837359773,0.5507144574302788,2.0,5.320161290322581
Veteran,implicit_als_cf,1240,675.0,0.9129032258064517,0.9129032258064517,0.6351656240122424,0.548674853372434,0.5528269172457704,2.0,5.056451612903226
Veteran,lightgbm_lambdarank,1240,675.0,0.8991935483870968,0.8991935483870968,0.6193938573966257,0.5328908904715356,0.5379036980277304,2.0,5.357258064516129
Veteran,neural_mlp_reranker,1240,675.0,0.896774193548387,0.896774193548387,0.632218360683658,0.5502994809849648,0.5555282834021604,2.0,5.305645161290323
Veteran,pointwise_logistic_reranker,1240,675.0,0.8887096774193548,0.8887096774193548,0.5997964987067064,0.5103682562956756,0.5157943958825886,2.0,5.662903225806452
Veteran,torch_feature_mlp_reranker,1240,675.0,0.8991935483870968,0.8991935483870968,0.6289854370037712,0.5453551354559418,0.5504653001457399,2.0,5.262096774193548
Veteran,torch_two_tower_cf,1240,675.0,0.1443548387096774,0.1443548387096774,0.07121255520543651,0.050367616254713025,0.0711025731543473,46.0,47.583064516129035
Veteran,xgboost_pairwise_ranker,1240,675.0,0.8991935483870968,0.8991935483870968,0.6343596585270254,0.5526039193781129,0.5576368393633391,2.0,5.283064516129032
