user_level,candidate_id,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,weight_latent_svd,weight_item_knn_collaborative,weight_popularity,weight_metadata_content,weight_graph_related,weight_people_staff_affinity
Beginner,38,554,0.9386281588447654,0.9386281588447654,0.7645966475503818,0.7089275295502733,0.711799681186676,1.0,0.3693,0.0528,0.2103,0.2902,0.0696,0.0078
Beginner,123,554,0.9386281588447654,0.9386281588447654,0.7642986760490286,0.7082526528826167,0.7109493017196655,1.0,0.6176,0.0167,0.1883,0.0761,0.0722,0.0292
Beginner,77,554,0.9386281588447654,0.9386281588447654,0.7637184537378194,0.707413029209058,0.7092104554176331,1.0,0.711,0.1583,0.0062,0.0267,0.0972,0.0005
Beginner,80,554,0.9386281588447654,0.9386281588447654,0.7636783862443137,0.7064903808586118,0.7090030908584595,1.0,0.4107,0.0589,0.0356,0.2111,0.0933,0.1904
Beginner,94,554,0.9386281588447654,0.9386281588447654,0.7629068292278113,0.7064161470298654,0.7092573642730713,1.0,0.4962,0.0946,0.2798,0.1015,0.0097,0.0182
Beginner,55,554,0.9386281588447654,0.9386281588447654,0.7616526558633323,0.7046037997301535,0.7068414092063904,1.0,0.7091,0.0914,0.0413,0.089,0.028,0.0411
Beginner,113,554,0.9386281588447654,0.9386281588447654,0.7582453838412687,0.7000453868233651,0.7031306028366089,1.0,0.213,0.0682,0.3142,0.2159,0.023,0.1657
Beginner,74,554,0.9386281588447654,0.9386281588447654,0.7557431873243076,0.6966708732502956,0.6994662880897522,1.0,0.1775,0.0296,0.2898,0.1356,0.1168,0.2507
Beginner,58,554,0.9368231046931408,0.9368231046931408,0.7710876427887793,0.7177220242653457,0.7199100852012634,1.0,0.4494,0.3499,0.0982,0.0236,0.0573,0.0216
Beginner,49,554,0.9368231046931408,0.9368231046931408,0.7702461262913327,0.7160478560749319,0.7182518839836121,1.0,0.4578,0.1928,0.0116,0.0872,0.0632,0.1875
Beginner,96,554,0.9368231046931408,0.9368231046931408,0.7664193553386204,0.7110810268752507,0.7132974863052368,1.0,0.4925,0.1168,0.0325,0.1158,0.0127,0.2297
Beginner,30,554,0.9368231046931408,0.9368231046931408,0.7653931971822759,0.7099961059798605,0.7122982144355774,1.0,0.7105,0.0684,0.0167,0.0185,0.0763,0.1096
Beginner,51,554,0.9368231046931408,0.9368231046931408,0.7627715511128391,0.7061108115711004,0.7093449234962463,1.0,0.2325,0.0473,0.3064,0.1622,0.1104,0.1412
Beginner,92,554,0.9368231046931408,0.9368231046931408,0.7625270408956064,0.7065222883814941,0.7093954086303711,1.0,0.5543,0.0532,0.2641,0.0443,0.0195,0.0645
