candidate_id,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,weight_latent_svd,weight_item_knn_collaborative,weight_popularity,weight_metadata_content,weight_graph_related,weight_people_staff_affinity,hit_at_12_Beginner,hit_at_12_Casual,hit_at_12_Fan,hit_at_12_Veteran,balanced_profile_hit_at_12
40,3000,0.9436666666666667,0.9436666666666667,0.7298385208894472,0.6617262866762866,0.6643531322479248,1.0,0.2397,0.383,0.1458,0.1093,0.1,0.0221,0.9458483754512635,0.9579667644183774,0.9429530201342282,0.8787878787878788,0.931389009697937
88,3000,0.9433333333333334,0.9433333333333334,0.7374044037909354,0.6716436868686868,0.6743464469909668,1.0,0.4568,0.2397,0.1427,0.1161,0.0108,0.0339,0.9458483754512635,0.9560117302052786,0.9437919463087249,0.8787878787878788,0.9311099826882865
104,3000,0.9433333333333334,0.9433333333333334,0.73417839693626,0.6675944324194325,0.6703618764877319,1.0,0.3919,0.1178,0.2171,0.1727,0.0652,0.0352,0.9512635379061372,0.9530791788856305,0.9446308724832215,0.8744588744588745,0.9308581159334659
101,3000,0.944,0.944,0.7369891731079267,0.6709496031746032,0.6735792756080627,1.0,0.3746,0.2796,0.1837,0.0192,0.0201,0.1227,0.9386281588447654,0.9579667644183774,0.9471476510067114,0.8787878787878788,0.9306326132644333
126,3000,0.945,0.945,0.7365623505650354,0.6701935906685906,0.6727274060249329,1.0,0.6465,0.0384,0.1017,0.0657,0.0939,0.0538,0.9476534296028881,0.9530791788856305,0.9513422818791947,0.8701298701298701,0.9305511901243959
98,3000,0.9426666666666667,0.9426666666666667,0.7373868882869911,0.6716940355940355,0.6743234395980835,1.0,0.4499,0.2226,0.0494,0.1613,0.0533,0.0636,0.944043321299639,0.9530791788856305,0.9454697986577181,0.8787878787878788,0.9303450444077166
30,3000,0.9426666666666667,0.9426666666666667,0.7368546215461301,0.671148581048581,0.6736304759979248,1.0,0.7105,0.0684,0.0167,0.0185,0.0763,0.1096,0.9368231046931408,0.9550342130987293,0.9463087248322147,0.8831168831168831,0.930320731435242
46,3000,0.9446666666666667,0.9446666666666667,0.7371989636538604,0.671015404040404,0.673539936542511,1.0,0.5769,0.0418,0.0554,0.0831,0.1296,0.1131,0.9476534296028881,0.9521016617790812,0.9513422818791947,0.8701298701298701,0.9303068108477586
37,3000,0.9473333333333334,0.9473333333333334,0.7393375054553784,0.6729037878787879,0.6753689646720886,1.0,0.4773,0.057,0.068,0.0325,0.2348,0.1306,0.9458483754512635,0.9589442815249267,0.9546979865771812,0.8614718614718615,0.9302406262563083
100,3000,0.9443333333333334,0.9443333333333334,0.7350142634073754,0.6685017316017315,0.6712492108345032,1.0,0.286,0.1686,0.3995,0.0929,0.0316,0.0214,0.9476534296028881,0.9521016617790812,0.950503355704698,0.8701298701298701,0.9300970793041343
106,3000,0.9433333333333334,0.9433333333333334,0.7385221263555107,0.6729652717652718,0.6754380464553833,1.0,0.6015,0.1587,0.0178,0.1275,0.0843,0.0102,0.944043321299639,0.9521016617790812,0.9488255033557047,0.8744588744588745,0.9298573402233249
